ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
11366,"POTATOES,BLD,CKD IN SKN,SKN,WO/SALT",77.80,78,2.86,0.10,2.04,17.21,3.3,,45,6.07,30,54,407,14,0.44,0.878,1.338,0.3,5.2,0.032,0.036,1.222,0.361,0.239,10,0,10,10,,0.00,0,0,0,,,,,,,0.0,0,,0.026,0.002,0.043,0
11369,"POTATOES,MICROWAVED,CKD IN SKN,SKN,WO/SALT",63.50,132,4.39,0.10,2.38,29.63,5.5,,46,5.94,37,82,650,16,0.51,0.882,0.980,0.5,15.3,0.071,0.075,2.220,0.594,0.492,17,0,17,17,,0.00,0,0,0,,,,,,,0.0,0,,0.026,0.002,0.043,0
11416,"PUMPKIN FLOWERS,RAW",95.15,15,1.03,0.07,0.48,3.28,,,39,0.70,24,49,173,5,,,,0.7,28.0,0.042,0.075,0.690,,,59,0,59,59,,0.00,1947,97,0,,,,,,,0.0,0,,0.036,0.009,0.004,0
11418,"PUMPKIN LEAVES,RAW",92.88,19,3.15,0.40,1.24,2.33,,,39,2.22,38,104,436,11,0.20,0.133,0.355,0.9,11.0,0.094,0.128,0.920,0.042,0.207,36,0,36,36,,0.00,1942,97,0,,,,,,,0.0,0,,0.207,0.052,0.022,0
11419,"PUMPKIN LEAVES,CKD,BLD,DRND,WO/SALT",92.51,21,2.72,0.22,1.16,3.39,2.7,0.69,43,3.20,38,79,438,8,0.20,0.133,0.355,0.9,1.0,0.068,0.136,0.850,0.042,0.196,25,0,25,25,21.0,0.00,1600,80,0,0,960,0,0,1747,0.96,0.0,0,108.0,0.114,0.029,0.012,0
11427,"PURSLANE,RAW",92.86,20,2.03,0.36,1.36,3.39,,,65,1.99,68,44,494,45,0.17,0.113,0.303,0.9,21.0,0.047,0.112,0.480,0.036,0.073,12,0,12,12,12.8,0.00,1320,,0,,,,,,,0.0,0,,,,,0
11428,"PURSLANE,CKD,BLD,DRND,WO/SALT",93.52,18,1.49,0.19,1.25,3.55,,,78,0.77,67,37,488,44,0.17,0.114,0.307,0.9,10.5,0.031,0.090,0.460,0.036,0.070,9,0,9,9,,0.00,1852,93,0,,,,,,,0.0,0,,,,,0
11437,"SALSIFY,(VEG OYSTER),RAW",77.00,82,3.30,0.20,0.90,18.60,3.3,,60,0.70,23,75,380,20,0.38,0.089,0.268,0.8,8.0,0.080,0.220,0.500,0.371,0.277,26,0,26,26,,0.00,0,0,0,,,,,,,0.0,0,,,,,0
11442,"SEAWEED,AGAR,RAW",91.32,26,0.54,0.03,1.36,6.75,0.5,0.28,54,1.86,67,5,226,9,0.58,0.061,0.373,0.7,0.0,0.005,0.022,0.055,0.302,0.032,85,0,85,85,6.0,0.00,0,0,0,0,0,0,0,0,0.87,0.0,0,2.3,0.006,0.003,0.010,0
11444,"SEAWEED,IRISHMOSS,RAW",81.34,49,1.51,0.16,4.70,12.29,1.3,0.61,72,8.90,144,157,63,67,1.95,0.149,0.370,0.7,3.0,0.015,0.466,0.593,0.176,0.069,182,0,182,182,12.9,0.00,118,6,0,0,71,0,0,0,0.87,0.0,0,5.0,0.033,0.015,0.055,0
